model,mean,std,skew,kurtosis,pct_within_1std,q05,q25,q50,q75,q95
Analytic,0.0005771612632088363,0.006830517668277025,3.8157193660736084,56.917903900146484,89.58278593145903,-0.00582258403301239,-0.0012348885647952557,9.781733388081193e-05,0.0017178854905068874,0.008169100619852543
6F,0.00038422050420194864,0.006857432425022125,2.7227020263671875,41.2161750793457,88.02128298487294,-0.00707046315073967,-0.0021764710545539856,0.0003259927034378052,0.0024140775203704834,0.008309848606586456
8F theta,0.00028729639598168433,0.003695602063089609,-1.2901254892349243,21.081924438476562,85.85450996584211,-0.004314586520195007,-0.0008563324809074402,0.000478893518447876,0.0017216429114341736,0.004687968175858259
8F rho,0.0003638267226051539,0.004983737599104643,0.2932172119617462,39.70518493652344,89.87556773394391,-0.004345559515058994,-0.0009011700749397278,0.00034230202436447144,0.001591527834534645,0.005531096365302801
