Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,18.65093994140625,4.9228458531155554e-05,0.007016299489841889,0.003652749350294471,0.0009909404907375574,0.0020081610418856144,0.2296832492495322,,,
ANN-3F,35.932430267333984,9.484230601225762e-05,0.009738701454108633,0.004282319452613592,-0.0004485223034862429,0.00205018138512969,-0.4840728144028059,56.7s,-92.66%,
ANN-4F,81.62287902832031,0.00021544053694144433,0.014677892796360257,0.004679623059928417,-0.0009824162116274238,0.0022897107992321253,-2.371169021911155,57.2s,-337.63%,-127.16%
Total,,,,,,,,113.9s,,
