Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,5.945361614227295,4.935917189751264e-05,0.007025608293771625,0.002966545522212982,0.00033244292717427015,0.001324034295976162,0.054109897742918744,,,
ANN-3F,6.0074143409729,4.987434177360836e-05,0.007062176843835643,0.003247190499678254,0.00013288733316585422,0.0016552046872675419,0.044237485624827544,19.5s,-1.04%,
ANN-4F,6.812367916107178,5.655717192972394e-05,0.0075204502478059074,0.0038402266800403595,-8.784575038589537e-05,0.0021869316697120667,-0.08382833591812688,19.4s,-14.58%,-13.40%
Total,,,,,,,,39.0s,,
