Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic
Analytic (4F),17.891374588012695,0.00010732742600743073,0.010359895077047388,0.004404776263982058,0.0007697864784859121,0.00227120378986001,0.10086845514633624,,
4F,4.300081729888916,2.5795486055038818e-05,0.00507892567921985,0.0021803202107548714,-0.00032491120509803295,0.0013522952795028687,0.7838992689034356,1413.9s,75.97%
Analytic (5F),17.891374588012695,0.00010732742600743073,0.010359895077047388,0.004404776263982058,0.0007697864784859121,0.00227120378986001,0.10086845514633624,,
5F,0.5219746232032776,3.131240278605616e-06,0.001769531090036458,0.001044644508510828,4.642789645004086e-05,0.0006790757179260254,0.9737681502879258,1592.1s,97.08%
Analytic (6F),17.371009826660156,0.00010547381418173081,0.010270044507290648,0.004385721404105425,0.0007747536292299628,0.0022677823435515165,0.09959686859355621,,
6F,0.49831604957580566,3.0256902126707287e-06,0.0017394511239671923,0.0009994229767471552,5.560942372540012e-05,0.0006313472986221313,0.9741704520378819,1744.7s,97.13%
Analytic (8F),17.371009826660156,0.00010547381418173081,0.010270044507290648,0.004385721404105425,0.0007747536292299628,0.0022677823435515165,0.09959686859355621,,
8F,0.17025898396968842,1.033783563372831e-06,0.0010167514757170658,0.0006455007824115455,-2.2701617126585916e-05,0.00039239227771759033,0.9911748525937101,2081.9s,99.02%
Total,,,,,,,,6832.6s,
