model,mean,std,skew,kurtosis,pct_within_1std,q05,q25,q50,q75,q95
Analytic (4F),0.0007697864784859121,0.01033125538378954,13.586322784423828,459.8126220703125,91.14451796351509,-0.00837712362408638,-0.0019248474854975939,0.00024006402236409485,0.0026135994121432304,0.010616938583552837
4F,-0.00032491120509803295,0.005068522412329912,8.471614837646484,1148.306396484375,92.25490254890552,-0.004820385482162237,-0.0016757510602474213,-0.000353887677192688,0.0009654909372329712,0.004010500852018595
Analytic (5F),0.0007697864784859121,0.01033125538378954,13.586322784423828,459.8126220703125,91.14451796351509,-0.00837712362408638,-0.0019248474854975939,0.00024006402236409485,0.0026135994121432304,0.010616938583552837
5F,4.642789645004086e-05,0.0017689218511804938,0.8114905953407288,89.60609436035156,84.89373061626044,-0.002143147634342313,-0.0006461292505264282,1.9058585166931152e-05,0.0007128342986106873,0.0023388350382447243
Analytic (6F),0.0007747536292299628,0.01024078018963337,13.724976539611816,470.9419250488281,91.0762318224597,-0.008328661322593689,-0.0019192728213965893,0.00024195879814215004,0.002612252254039049,0.010611056350171566
6F,5.560942372540012e-05,0.0017385620158165693,0.6019039750099182,79.49883270263672,85.68566137405507,-0.0020533381029963493,-0.0005841143429279327,3.8251280784606934e-05,0.0006773769855499268,0.002209447091445327
Analytic (8F),0.0007747536292299628,0.01024078018963337,13.724976539611816,470.9419250488281,91.0762318224597,-0.008328661322593689,-0.0019192728213965893,0.00024195879814215004,0.002612252254039049,0.010611056350171566
8F,-2.2701617126585916e-05,0.0010164978448301554,0.023135317489504814,12.571521759033203,81.29390691885,-0.0015670701395720243,-0.00040593743324279785,-1.5616416931152344e-05,0.0003777146339416504,0.001464548520743847
