combo_name,n_features,features,SSE,RMSE,Gain_vs_HW_%,training_time_s,epochs_run
3F+d_iv_lag+gamma+theta,6,"delta, T, spy_ret, d_iv_lag, gamma, theta",29.672847747802734,0.015311073668224963,19.996850706626557,4.381058205999921,100
3F+iv_lag,4,"delta, T, spy_ret, iv_lag",29.957595825195312,0.015384362711515392,19.229120452346315,4.465661771999976,100
3F+d_iv_lag+vix_mom_lag+rho,6,"delta, T, spy_ret, d_iv_lag, vix_mom_lag, rho",30.601505279541016,0.015548819673579259,17.49302876862012,4.407315470000071,100
3F+d_iv_lag+theta,5,"delta, T, spy_ret, d_iv_lag, theta",30.695751190185547,0.015572744740386772,17.238925430657126,4.353128110000057,100
3F+d_iv_lag+vix_mom+vega,6,"delta, T, spy_ret, d_iv_lag, vix_mom, vega",30.866138458251953,0.015615905851721689,16.779531773510882,4.425012543999969,100
3F+d_iv_lag+gamma+vega,6,"delta, T, spy_ret, d_iv_lag, gamma, vega",30.97354507446289,0.015643052024146793,16.48994488839447,4.445413644999917,100
3F+vix_lag+d_iv_lag+gamma,6,"delta, T, spy_ret, vix_lag, d_iv_lag, gamma",31.257768630981445,0.01571466104765338,15.723628833457305,4.538786791000007,100
3F+vix_lag+d_iv_lag+rho,6,"delta, T, spy_ret, vix_lag, d_iv_lag, rho",31.35440444946289,0.015738933849152,15.46308188903297,4.433198800000014,100
3F+vix_lag+d_iv_lag+vega,6,"delta, T, spy_ret, vix_lag, d_iv_lag, vega",32.759098052978516,0.01608762742900634,11.675784052685966,4.349690553999949,100
3F+vix_lag+vix_mom_lag,5,"delta, T, spy_ret, vix_lag, vix_mom_lag",32.937255859375,0.01613131376850276,11.195439675090013,4.397977419999961,100
3F+vix_lag+vix_mom,5,"delta, T, spy_ret, vix_lag, vix_mom",33.06642532348633,0.016162913764014495,10.847176373593825,4.4840586899999835,100
3F+d_iv_lag+theta+vega,6,"delta, T, spy_ret, d_iv_lag, theta, vega",33.83570098876953,0.016349844297799034,8.773075619244464,4.4121815889999425,100
3F+vix_mom+gamma+vega,6,"delta, T, spy_ret, vix_mom, gamma, vega",34.239234924316406,0.01644705171053228,7.685078067917772,4.421721746000003,100
3F+d_iv_lag,4,"delta, T, spy_ret, d_iv_lag",34.44071578979492,0.016495372088381307,7.141850673714279,4.390087993999998,100
3F+vix_lag+theta,5,"delta, T, spy_ret, vix_lag, theta",35.066829681396484,0.016644635307100943,5.453738916791185,4.40602579900002,100
3F+vix_lag+vix_mom+theta,6,"delta, T, spy_ret, vix_lag, vix_mom, theta",35.074302673339844,0.016646408757973765,5.43359043305972,4.563448648999952,100
3F+vix_lag+vix_mom+rho,6,"delta, T, spy_ret, vix_lag, vix_mom, rho",35.09382247924805,0.016651040203891233,5.380961647325222,4.526831809999976,100
3F+vix_mom+theta+rho,6,"delta, T, spy_ret, vix_mom, theta, rho",35.09443283081055,0.016651185000660287,5.379316033544191,4.46703611199996,100
3F+vix_mom_lag+gamma,5,"delta, T, spy_ret, vix_mom_lag, gamma",35.26285171508789,0.016691091864245507,4.9252294808417645,4.299040118999983,100
3F+vix_mom+vega+rho,6,"delta, T, spy_ret, vix_mom, vega, rho",35.46440124511719,0.01673872397965426,4.381816955087913,4.5176037689999475,100
3F+vix_lag+gamma,5,"delta, T, spy_ret, vix_lag, gamma",35.495849609375,0.016746143939155973,4.297026705020435,4.3425679619999755,100
3F+vix_mom_lag+rho,5,"delta, T, spy_ret, vix_mom_lag, rho",35.56015396118164,0.016761305749318407,4.123651008103002,4.348120636999965,100
3F+vix_lag+rho,5,"delta, T, spy_ret, vix_lag, rho",35.62336730957031,0.016776196964470805,3.953216845819152,4.359653481999999,100
3F+vix_lag+gamma+theta,6,"delta, T, spy_ret, vix_lag, gamma, theta",35.6942253112793,0.016792873339405576,3.7621713709279248,4.481929544999957,100
3F+vega+rho,5,"delta, T, spy_ret, vega, rho",35.91686248779297,0.01684516339566136,3.1619028890395584,4.444652833999953,100
3F+vix_mom_lag+vix_mom+theta,6,"delta, T, spy_ret, vix_mom_lag, vix_mom, theta",35.92509460449219,0.016847093734175856,3.139707673167935,4.4744713549999915,100
3F+vix_lag+vix_mom_lag+gamma,6,"delta, T, spy_ret, vix_lag, vix_mom_lag, gamma",36.14332962036133,0.016898186975306848,2.551308180675227,4.455414031000032,100
3F+vix_lag+gamma+vega,6,"delta, T, spy_ret, vix_lag, gamma, vega",36.2599983215332,0.016925438215641353,2.2367491064317124,4.432855403999952,100
3F+vix_mom+rho,5,"delta, T, spy_ret, vix_mom, rho",36.46141815185547,0.01697238247716737,1.6936862736063318,4.500163498999996,100
3F+vix_lag+vix_mom_lag+rho,6,"delta, T, spy_ret, vix_lag, vix_mom_lag, rho",36.5775146484375,0.016999381812704897,1.3806699622825325,4.393949490000068,100
3F+vix_mom_lag+theta+vega,6,"delta, T, spy_ret, vix_mom_lag, theta, vega",36.826175689697266,0.01705706648872682,0.7102366228055712,4.416955010000038,100
3F+vix_lag+vega+rho,6,"delta, T, spy_ret, vix_lag, vega, rho",36.94508743286133,0.017084582932884517,0.38962991791678947,4.377953505999926,100
3F+theta+vega,5,"delta, T, spy_ret, theta, vega",36.99778747558594,0.01709676367820835,0.24754145301114638,4.3960811660000445,100
3F+vix_mom_lag+vega+rho,6,"delta, T, spy_ret, vix_mom_lag, vega, rho",37.023441314697266,0.0171026900004476,0.17837424877731323,4.433327305000034,100
3F+vix_mom_lag+vix_mom,5,"delta, T, spy_ret, vix_mom_lag, vix_mom",37.16913604736328,0.0171363082320875,-0.21444404584021193,4.403618610999956,100
3F+vix_lag+vix_mom_lag+vega,6,"delta, T, spy_ret, vix_lag, vix_mom_lag, vega",37.22783279418945,0.017149833549908497,-0.3727006661444543,4.390323174999935,100
3F+theta+vega+rho,6,"delta, T, spy_ret, theta, vega, rho",37.308265686035156,0.017168350158762787,-0.5895617072255499,4.40798377100009,100
3F+vix_mom_lag+vega,5,"delta, T, spy_ret, vix_mom_lag, vega",37.418190002441406,0.017193623795159985,-0.8859367491887093,4.34126938899999,100
3F+vix_mom_lag+vix_mom+gamma,6,"delta, T, spy_ret, vix_mom_lag, vix_mom, gamma",37.420799255371094,0.01719422325936701,-0.8929717481026112,4.433835851000026,100
3F+gamma+rho,5,"delta, T, spy_ret, gamma, rho",37.42880630493164,0.017196062712781006,-0.9145601438924622,4.477703066999993,100
3F+vix_lag+vega,5,"delta, T, spy_ret, vix_lag, vega",37.48678207397461,0.017209375576538042,-1.0708728829178726,4.439547871000002,100
3F+vix_lag+vix_mom+vega,6,"delta, T, spy_ret, vix_lag, vix_mom, vega",37.53732681274414,0.017220973669682307,-1.2071502741592521,4.571635546000039,100
