Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,37.089599609375,0.0002930246858334979,0.01711796383433199,0.006031962111592293,0.0018551596440374851,0.002182294148951769,0.06568799884609366,,,
3F,38.523643493652344,0.00030435428397118186,0.017445752605467667,0.008688230998814106,0.0002643286425154656,0.005430251359939575,0.02956346729620285,5.2s,-3.87%,
3F+vix_lag,42.11465072631836,0.0003327248724180791,0.01824074758385958,0.010585611686110497,-0.0006789178587496281,0.007194384932518005,-0.060896424130133076,4.4s,-13.55%,-9.32%
3F+iv_lag,29.957595825195312,0.00023667861603946525,0.015384362711515392,0.009727097116410732,0.0005347024416550994,0.006865739822387695,0.24534797894870564,4.5s,19.23%,28.87%
3F+d_iv_lag,34.44071578979492,0.0002720973003341491,0.016495372088381307,0.010008554905653,0.00018104152695741504,0.006799183785915375,0.13241516679509735,4.4s,7.14%,-14.96%
3F+vix_mom_lag,39.708526611328125,0.00031371539886492693,0.017712012840581583,0.009663128294050694,0.0007617782102897763,0.006444387137889862,-0.0002845366851966791,4.4s,-7.06%,-15.30%
3F+vix_mom,42.31124496459961,0.0003342780562085689,0.01828327257928867,0.010509626008570194,0.00010707944602472708,0.007218852639198303,-0.06584876543654761,4.5s,-14.08%,-6.55%
3F+gamma,39.17955017089844,0.000309536244684167,0.01759364216653752,0.009266342036426067,-0.00042226241203024983,0.005965426564216614,0.013040736216811344,4.5s,-5.63%,7.40%
3F+theta,41.525054931640625,0.00032806679780083447,0.018112614328164627,0.00968692172318697,0.00019721563148777932,0.00634765625,-0.04604410885579835,4.4s,-11.96%,-5.99%
3F+vega,42.25919723510742,0.00033386685550154,0.018272023847990676,0.009852548129856586,0.000214073559618555,0.006532639265060425,-0.06453764806646234,4.4s,-13.94%,-1.77%
3F+rho,43.36605453491211,0.0003426115309888375,0.018509768528775217,0.010370341129601002,-0.0010949431452900171,0.007015824317932129,-0.09242012913026243,4.4s,-16.92%,-2.62%
3F+vix_lag+iv_lag,23.88058853149414,0.00018866749777992606,0.013735628772645468,0.008623834699392319,-0.00020795284945052117,0.006011962890625,0.39843188671269414,4.6s,35.61%,44.93%
3F+vix_lag+d_iv_lag,26.05255889892578,0.0002058270503569092,0.014346673842982185,0.008221365511417389,0.00026872000307776034,0.00537109375,0.34371848991643694,4.4s,29.76%,-9.10%
3F+vix_lag+vix_mom_lag,32.937255859375,0.00026021928389788665,0.01613131376850276,0.008281449787318707,0.0003630409191828221,0.00519128143787384,0.17028833531240561,4.4s,11.20%,-26.43%
3F+vix_lag+vix_mom,33.06642532348633,0.0002612397813429692,0.016162913764014495,0.008487227372825146,0.0010246633319184184,0.005460232496261597,0.16703446949091183,4.5s,10.85%,-0.39%
3F+vix_lag+gamma,35.495849609375,0.0002804333368309303,0.016746143939155973,0.008833670988678932,0.00040784190059639513,0.005706787109375,0.10583563504388793,4.3s,4.30%,-7.35%
3F+vix_lag+theta,35.066829681396484,0.00027704388450639134,0.016644635307100943,0.00855207908898592,-0.00034156019682995975,0.005316458642482758,0.11664293605727483,4.4s,5.45%,1.21%
3F+vix_lag+vega,37.48678207397461,0.0002961626077343441,0.017209375576538042,0.009313118644058704,0.000400311138946563,0.00616455078125,0.055682704983889275,4.4s,-1.07%,-6.90%
3F+vix_lag+rho,35.62336730957031,0.0002814407845907194,0.016776196964470805,0.008809467777609825,4.93968982482329e-05,0.005641117691993713,0.10262337826821999,4.4s,3.95%,4.97%
3F+iv_lag+d_iv_lag,19.860652923583984,0.00015690818031668168,0.012526299546022428,0.007700762711465359,0.0009285630658268929,0.005046315491199493,0.4996967728773597,4.3s,46.45%,44.25%
3F+iv_lag+vix_mom_lag,25.465099334716797,0.00020118585293080622,0.014183999891807889,0.008601062931120396,-0.0005502429557964206,0.005828857421875,0.358516992106101,4.4s,31.34%,-28.22%
3F+iv_lag+vix_mom,26.908763885498047,0.00021259145870431006,0.014580516407326253,0.008946359157562256,-3.0191904443199746e-05,0.006084710359573364,0.32215010948560363,4.3s,27.45%,-5.67%
3F+iv_lag+gamma,26.92691993713379,0.00021273489976009313,0.014585434507072222,0.009561245329678059,-0.0005571772926487029,0.00690179318189621,0.32169274631329925,4.3s,27.40%,-0.07%
3F+iv_lag+theta,23.308609008789062,0.00018414859971391714,0.013570136318914306,0.008100462146103382,-0.00025667453883215785,0.005379199981689453,0.4128404362280833,4.4s,37.16%,13.44%
3F+iv_lag+vega,28.30750846862793,0.00022364217632729947,0.014954670719454156,0.009672030806541443,0.00037755211815238,0.006891801953315735,0.28691479111249996,4.3s,23.68%,-21.45%
3F+iv_lag+rho,24.755409240722656,0.00019557897879298957,0.013984955444798155,0.00880614947527647,0.00014082745474297553,0.006194591522216797,0.37639456368687285,4.4s,33.26%,12.55%
3F+d_iv_lag+vix_mom_lag,25.206266403198242,0.00019914095519018955,0.014111731119539854,0.00781687069684267,4.5120599679648876e-05,0.00494384765625,0.3650371680249185,4.4s,32.04%,-1.82%
3F+d_iv_lag+vix_mom,28.99640655517578,0.00022908478416097794,0.01513554703870917,0.008876432664692402,-0.00025910153635777533,0.0058355629444122314,0.2695609842067245,4.4s,21.82%,-15.04%
3F+d_iv_lag+gamma,25.440746307373047,0.0002009934529517918,0.01417721598029006,0.007794525474309921,0.000742475560400635,0.00494384765625,0.3591304612713476,4.4s,31.41%,12.26%
3F+d_iv_lag+theta,30.695751190185547,0.0002425103787492439,0.015572744740386772,0.008974730037152767,0.0003658322966657579,0.005851641297340393,0.22675334801469593,4.4s,17.24%,-20.66%
3F+d_iv_lag+vega,27.016494750976562,0.00021344258148115,0.014609674242814246,0.008058344013988972,-0.0005397808854468167,0.005035400390625,0.31943629640669857,4.3s,27.16%,11.99%
3F+d_iv_lag+rho,29.123254776000977,0.00023008694272961467,0.015168617034179967,0.008851679973304272,-6.09844209975563e-05,0.005928054451942444,0.26636559206741317,4.4s,21.48%,-7.80%
3F+vix_mom_lag+vix_mom,37.16913604736328,0.0002936530598251099,0.0171363082320875,0.009473486803472042,-0.0005438310327008367,0.006439730525016785,0.06368442239004857,4.4s,-0.21%,-27.63%
3F+vix_mom_lag+gamma,35.26285171508789,0.0002785925476206825,0.016691091864245507,0.008695196360349655,0.0001060816939570941,0.005578130483627319,0.1117050089699686,4.3s,4.93%,5.13%
3F+vix_mom_lag+theta,38.73929214477539,0.00030605800627908663,0.017494513605101646,0.009562928229570389,-0.0002504706790205091,0.0062598735094070435,0.024131132493484087,4.4s,-4.45%,-9.86%
3F+vix_mom_lag+vega,37.418190002441406,0.00029562069920949165,0.017193623795159985,0.009151197038590908,0.0005940342671237886,0.005951054394245148,0.05741058547579081,4.3s,-0.89%,3.41%
3F+vix_mom_lag+rho,35.56015396118164,0.00028094137042213426,0.016761305749318407,0.00867664348334074,-0.0011234006378799677,0.005401611328125,0.10421576510050412,4.3s,4.12%,4.97%
3F+vix_mom+gamma,37.912906646728516,0.00029952918543731794,0.017306911493311507,0.009557663463056087,-0.0007408121018670499,0.006376996636390686,0.044948339919190006,4.5s,-2.22%,-6.62%
3F+vix_mom+theta,38.87248611450195,0.00030711029914676636,0.01752456273767669,0.009749571792781353,0.00012880783469881862,0.006474897265434265,0.020775886664262333,4.3s,-4.81%,-2.53%
3F+vix_mom+vega,37.901710510253906,0.00029944073087303103,0.01730435583525232,0.009415353648364544,-0.0004402571066748351,0.006154686212539673,0.04523037813974129,4.4s,-2.19%,2.50%
3F+vix_mom+rho,36.46141815185547,0.0002880617669512579,0.01697238247716737,0.008935462683439255,0.0005935439257882535,0.005710780620574951,0.081512312962294,4.5s,1.69%,3.80%
3F+gamma+theta,38.32331848144531,0.00030277162537187686,0.017400334059203486,0.0088780103251338,0.0011061441618949175,0.0055374205112457275,0.034609789311203065,4.5s,-3.33%,-5.11%
3F+gamma+vega,38.151763916015625,0.00030141626637183983,0.017361344025502167,0.00897638313472271,0.0001475964963901788,0.0056416988372802734,0.038931364389441114,4.4s,-2.86%,0.45%
3F+gamma+rho,37.42880630493164,0.0002957045728218972,0.017196062712781006,0.009063627570867538,0.00010207592276856303,0.005889892578125,0.057143153663935964,4.5s,-0.91%,1.89%
3F+theta+vega,36.99778747558594,0.0002922993282685043,0.01709676367820835,0.008245247416198254,0.0003596156893763691,0.0048802196979522705,0.06800080834940758,4.4s,0.25%,1.15%
3F+theta+rho,39.1806640625,0.0003095450449338337,0.017593892262198086,0.00917958002537489,0.0007681697024963796,0.005876496434211731,0.013012676536947376,4.5s,-5.64%,-5.90%
3F+vega+rho,35.91686248779297,0.00028375952982652946,0.01684516339566136,0.008021784946322441,0.0001480861392337829,0.004759334027767181,0.0952300370032223,4.4s,3.16%,8.33%
