Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,7.250927448272705,3.807740249899019e-05,0.00617068898089915,0.003004747210070491,0.0008805957622826099,0.0015716090565547347,-0.005784703441845007,,,
6F_gamma+iv_lag,2.194854259490967,1.1526021969116438e-05,0.0033949995536253666,0.002028477843850851,-0.0012406212044879794,0.001367330551147461,0.6955491754360239,290.2s,69.73%,
8F_theta+iv_lag,11.085472106933594,5.8214067968311015e-05,0.00762981441244222,0.00289518223144114,-0.00046047192881815135,0.001284874975681305,-0.5376789183349331,136.1s,-52.88%,-405.07%
8F_rho+iv_lag,1.4705740213394165,7.722548503562626e-06,0.002778947373298499,0.0018760429229587317,-0.000938556797336787,0.0013969093561172485,0.7960149420203496,236.8s,79.72%,86.73%
Total,,,,,,,,663.1s,,
