Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,5.0073442459106445,4.698907929423299e-05,0.006854858079802455,0.0031774980016052723,0.0005771612632088363,0.0014522869605571032,0.0724573547626739,,,
6F,4.602336883544922,4.3188477192531455e-05,0.006571794061938601,0.0035706318449229,0.0009145213407464325,0.0021968483924865723,0.1474794786232586,54.6s,8.09%,
8F theta,2.1049702167510986,1.975310814863461e-05,0.004444446888942944,0.00247692852281034,-0.0005298506002873182,0.001439012587070465,0.6100828009606865,50.2s,57.96%,54.26%
8F rho,3.824899196624756,3.5892976958679816e-05,0.005991074774919757,0.002912560012191534,0.0007026822422631085,0.0016158223152160645,0.2914892716831279,40.9s,23.61%,-81.71%
Total,,,,,,,,145.6s,,
