,model,feature,split,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic
35,TFT,8F rho,D,4.502695083618164,4.225343534043546e-05,0.0065002642515851,0.0035560354590415,0.0006785276927985,0.0022985562682151,0.1659367713799433,166.7s,10.08%
36,FC,6F,A,77.69535064697266,0.0001340226638589,0.011576815791008,0.0078897718340158,-0.0014754742151126,0.0056053027510643,-1.696714085709118,20.9s,-239.41%
37,FC,8F theta,A,94.72010803222656,0.0001633899724214,0.0127824087096863,0.008443621918559,-0.0008143075974658,0.0059603229165077,-2.287623357168638,20.1s,-313.78%
38,FC,8F rho,A,90.56804656982422,0.0001562277634467,0.0124991105062221,0.0078949118033051,0.0007391039980575,0.0048684924840927,-2.1435101954780977,25.4s,-295.64%
39,FC,6F,B,61.2658805847168,0.0002716011250669,0.0164803253932349,0.011230930685997,-0.0033668556716293,0.0076890587806701,-0.571523192675474,27.2s,-54.86%
40,FC,8F theta,B,40.09605407714844,0.0001777520096693,0.01333236699425,0.0086710015311837,-0.0034442180767655,0.0050086975097656,-0.0284987062232404,38.9s,-1.35%
41,FC,8F rho,B,30.852962493896484,0.0001367759549852,0.0116951252659083,0.0076303789392113,-0.0002018769737333,0.004730224609375,0.2085946425782694,36.1s,22.01%
42,FC,6F,C,36.69587707519531,0.0001380307052212,0.0117486469527894,0.0077155861072242,-0.0031386381015181,0.0053159147500991,-2.5108399364263634,16.7s,-250.64%
43,FC,8F theta,C,11.518678665161133,4.332724725754884e-05,0.0065823435991711,0.003809813875705,-0.0003874682297464,0.0023524463176727,-0.1020376210014535,26.1s,-10.06%
44,FC,8F rho,C,25.06303977966309,9.427405287757928e-05,0.0097094826266685,0.0059166084975004,-0.0004585056449286,0.0033739954233169,-1.3978803069994594,27.8s,-139.49%
45,FC,6F,D,8.36235523223877,5.63641557008066e-05,0.0075076065227745,0.0043751280754804,-0.0001710155338514,0.002804696559906,-0.0425945185748337,40.9s,-13.56%
46,FC,8F theta,D,9.857394218444824,6.64410548347285e-05,0.0081511382539329,0.0045836754143238,-0.0014659160515293,0.0025802850723266,-0.2289917008022632,43.0s,-33.86%
47,FC,8F rho,D,9.0778169631958,6.118652873826898e-05,0.0078221818400155,0.0043520997278392,-0.0011615749681368,0.0025514215230941,-0.1317962396485941,43.8s,-23.27%
