,extra_features,avg_gain,avg_marginal_gain,avg_median_marginal,avg_std,n_features,gain_A,gain_B,gain_C
46,gamma+theta+vix_lag+vix_mom_lag,24.71666666666667,7.187057291666666,6.5112499999999995,8.605782798717367,4,26.63,13.78,33.74
47,rho+vix_lag+vix_mom+vix_mom_lag,24.656666666666666,7.1459375,6.678749999999999,8.363885683907704,4,31.53,17.97,24.47
48,gamma+vega+vix_mom+vix_mom_lag,24.59,6.441093749999999,5.985,8.507283845745265,4,32.23,16.03,25.51
49,gamma+vix_lag+vix_mom_lag,24.570000000000004,7.395086805555555,6.733333333333333,8.64003639355544,3,30.5,12.05,31.16
50,gamma+rho+vix_lag+vix_mom_lag,24.336666666666662,6.421979166666666,5.888749999999999,8.5630867833129,4,34.12,15.92,22.97
51,gamma+rho+theta+vega+vix_mom,24.243333333333336,5.67028125,5.266,8.475096955429649,5,34.43,14.74,23.56
52,theta+vix_lag+vix_mom_lag,24.236666666666668,7.450364583333332,6.751666666666666,8.476545023791315,3,30.67,14.65,27.39
53,gamma+rho+vega+vix_lag+vix_mom_lag,24.236666666666665,5.6567187500000005,5.188999999999999,8.520476818848229,5,35.78,6.3,30.63
54,gamma+theta+vega+vix_lag,24.026666666666667,5.9663281249999995,5.40625,8.57106439580944,4,28.89,9.91,33.28
55,gamma+rho+theta+vix_mom_lag,23.996666666666666,5.985338541666667,5.449999999999999,8.579416665726304,4,31.23,10.26,30.5
56,gamma+rho+vix_lag,23.819999999999997,6.069774305555555,5.581666666666666,8.58781218687678,3,29.45,12.27,29.74
57,theta+vix_lag+vix_mom,23.293333333333333,8.05515625,7.464999999999999,8.379138741542477,3,30.97,13.86,25.05
58,rho+theta+vega+vix_lag,23.156666666666666,5.242708333333333,4.797499999999999,8.405749853081879,4,29.92,10.57,28.98
59,theta+vega+vix_lag+vix_mom_lag,23.12,6.236692708333332,5.661249999999999,8.444918008090873,4,27.1,13.61,28.65
60,gamma+rho+theta+vega+vix_lag,23.01,5.47359375,4.996,8.523299107164608,5,35.23,8.74,25.06
61,vix_lag+vix_mom_lag,22.97666666666667,7.894062499999999,7.204999999999998,8.463306528585395,2,29.28,13.97,25.68
62,vix_lag+vix_mom+vix_mom_lag,22.963333333333335,8.360364583333332,7.786666666666665,8.374434927681845,3,25.84,14.53,28.52
63,rho+theta+vega+vix_mom_lag,22.950000000000003,5.034973958333333,4.6,8.41855187509981,4,29.87,9.63,29.35
64,gamma+rho+vix_mom,22.62,6.397586805555555,6.031666666666666,8.507475267318515,3,29.61,14.34,23.91
65,vega+vix_lag+vix_mom_lag,22.52333333333333,6.127934027777777,5.599999999999999,8.425550006053447,3,29.5,15.43,22.64
66,gamma+theta+vega+vix_mom_lag,22.36666666666667,5.758593749999999,5.20875,8.58386641782737,4,30.01,5.61,31.48
67,gamma+rho+vix_mom_lag,22.24,5.792795138888889,5.3183333333333325,8.604881549567354,3,30.53,11.47,24.72
68,gamma+vega+vix_lag,22.146666666666665,5.767447916666666,5.26,8.5937451896782,3,25.21,10.52,30.71
69,theta+vega+vix_mom,21.83,6.150538194444444,5.728333333333334,8.349916900355813,3,31.31,13.31,20.87
70,gamma+theta+vix_lag,21.823333333333334,7.089878472222222,6.411666666666666,8.644740207416069,3,30.71,8.21,26.55
71,theta+vix_mom+vix_mom_lag,21.80333333333333,7.778177083333333,7.201666666666665,8.396208104233049,3,30.44,10.33,24.64
72,vega+vix_mom+vix_mom_lag,21.42,6.4557465277777775,6.05,8.34521308649518,3,30.06,13.85,20.35
73,gamma+rho+vega+vix_lag,20.98,5.20125,4.7837499999999995,8.52836838040497,4,27.41,11.28,24.25
74,rho+vix_lag+vix_mom_lag,20.956666666666667,6.430260416666666,5.921666666666666,8.419617003252027,3,28.42,14.75,19.7
75,vega+vix_lag+vix_mom,20.953333333333333,6.7327256944444445,6.313333333333333,8.328143723804606,3,28.24,13.83,20.79
76,gamma+rho+theta+vega,20.89,4.764609375,4.345000000000001,8.544698262818375,4,26.58,5.82,30.27
77,gamma+theta+vix_mom_lag,20.72,6.812899305555555,6.148333333333333,8.661809570106643,3,28.2,6.77,27.19
78,gamma+vix_lag+vix_mom,20.503333333333334,7.999878472222222,7.446666666666665,8.542630111306599,3,32.44,8.73,20.34
79,rho+vix_lag+vix_mom,20.470000000000002,7.035052083333333,6.634999999999999,8.322210721003186,3,28.19,13.47,19.75
80,gamma+vega+vix_lag+vix_mom_lag,20.353333333333335,6.195234374999999,5.6475,8.567536535413964,4,25.76,14.67,20.63
81,rho+vega+vix_lag+vix_mom_lag,20.290000000000003,5.4716145833333325,5.038749999999999,8.402221992686405,4,24.46,13.52,22.89
82,rho+vix_mom+vix_mom_lag,20.19666666666667,6.758072916666666,6.371666666666666,8.33928008369376,3,27.77,13.31,19.51
