Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,21.684911727905273,0.00014924644675631314,0.012216646297421937,0.0039328476414084435,0.0010882341302931309,0.0014118212275207043,0.027944979058194597,,,
6F_gamma+iv_lag,1.2878506183624268,8.863634362697023e-06,0.0029771856446478145,0.001671342644840479,-0.00048663761117495596,0.0009430944919586182,0.9422703824894411,435.0s,94.06%,
8F_theta+iv_lag,1.5497266054153442,1.0665996348250085e-05,0.0032658837009682516,0.0017699281452223659,-0.0004399966273922473,0.000973828136920929,0.9305314429321588,412.3s,92.85%,-20.33%
8F_rho+iv_lag,1.8481172323226929,1.271967041296865e-05,0.003566464693918706,0.0018936018459498882,0.00019443225755821913,0.0009675770998001099,0.9171556860590512,404.1s,91.48%,-19.25%
Total,,,,,,,,1251.3s,,
