Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,10.167749404907227,4.145786795338414e-05,0.006438778451956872,0.003163820132613182,0.0008599217981100082,0.0016708308830857277,0.00840981387696016,,,
ANN-3F,16.64484977722168,6.78675247282285e-05,0.008238174842052607,0.0052992054261267185,-0.003530204761773348,0.0036130177322775126,-0.6232569304490916,32.2s,-63.70%,
ANN-4F,13.251179695129395,5.403021220822978e-05,0.007350524621292672,0.004409046843647957,-0.0019848551601171494,0.0029065452981740236,-0.29229578906632114,30.4s,-30.33%,20.39%
Total,,,,,,,,62.6s,,
