Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,7.250927448272705,3.807740249899019e-05,0.00617068898089915,0.003004747210070491,0.0008805957622826099,0.0015716090565547347,-0.005784703441845007,,,
6F,5.577035427093506,2.9287153157097803e-05,0.005411760633758463,0.004055291414260864,-0.0033399115782231092,0.0031011179089546204,0.22640283423879304,818.5s,23.09%,
8F theta,4.252991676330566,2.233409133380193e-05,0.004725895823418236,0.0023281320463865995,0.00028573579038493335,0.0012827366590499878,0.41006250546090217,558.7s,41.35%,23.74%
8F rho,1.8993844985961914,9.974396871205568e-06,0.003158226855563984,0.0021742519456893206,0.0008427647990174592,0.0015654787421226501,0.7365341346647054,584.0s,73.80%,55.34%
Total,,,,,,,,1961.1s,,
