Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,115.30036926269531,0.00030433101305925677,0.017445085642072863,0.00624780124053359,0.00153921521268785,0.002549469470977783,0.08174789960081574,,,
ANN-3F,99.58644104003906,0.0002628546871314032,0.016212793933539128,0.006103849969804287,8.382186024391558e-06,0.0024612881243228912,0.20689361845884402,144.5s,13.63%,
ANN-4F,83.53097534179688,0.00022047688580839316,0.014848464089204417,0.005913243163377047,1.7827798728831112e-05,0.002528909593820572,0.33475934165274135,143.5s,27.55%,16.12%
Total,,,,,,,,288.0s,,
