model,mean,std,skew,kurtosis,pct_within_1std,q05,q25,q50,q75,q95
Analytic,0.00153921521268785,0.01737704873085022,10.692865371704102,249.85305786132812,92.7359349636414,-0.011616294272243977,-0.0020758891478180885,0.0003121312474831939,0.003030811669304967,0.016192296519875526
ANN-3F,8.382186024391558e-06,0.016212791204452515,8.58599853515625,211.58168029785156,91.84881158196191,-0.014729505404829979,-0.002762364689260721,-0.00010309647768735886,0.0021965382620692253,0.012727410532534122
ANN-4F,1.7827798728831112e-05,0.014848453924059868,7.488480567932129,163.28591918945312,91.14037981866892,-0.01404410507529974,-0.0028507038950920105,-0.0002113059163093567,0.0022114403545856476,0.012903623282909393
