Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic
Analytic (4F),17.891375,0.000107,0.01036,0.004405,0.00077,0.002271,0.100868,,
4F,4.990499,3e-05,0.005471,0.002198,-0.000143,0.001327,0.749202,871.1s,72.11%
Analytic (5F),17.891375,0.000107,0.01036,0.004405,0.00077,0.002271,0.100868,,
5F,1.177748,7e-06,0.002658,0.001572,-3.5e-05,0.001022,0.940812,836.9s,93.42%
Analytic (6F),17.37101,0.000105,0.01027,0.004386,0.000775,0.002268,0.099597,,
6F,1.186808,7e-06,0.002684,0.001558,7.3e-05,0.001008,0.938483,836.4s,93.17%
Analytic (8F),17.37101,0.000105,0.01027,0.004386,0.000775,0.002268,0.099597,,
8F,0.336354,2e-06,0.001429,0.000785,-6e-05,0.0005,0.982566,854.3s,98.06%
Total,,,,,,,,3398.8s,
