T_bin,ret_bin,gain%,n
0-3m,All,72.11,41000
3-6m,All,72.11,41000
6m-1yr,All,72.11,41000
>1yr,All,72.11,41000
0-3m,All,93.42,41000
3-6m,All,93.42,41000
6m-1yr,All,93.42,41000
>1yr,All,93.42,41000
0-3m,All,93.17,41000
3-6m,All,93.17,41000
6m-1yr,All,93.17,41000
>1yr,All,93.17,41000
0-3m,All,98.06,41000
3-6m,All,98.06,41000
6m-1yr,All,98.06,41000
>1yr,All,98.06,41000
