model,mean,std,skew,kurtosis,pct_within_1std,q05,q25,q50,q75,q95
Analytic,0.00153921521268785,0.01737704873085022,10.692865371704102,249.85305786132812,92.7359349636414,-0.011616294272243977,-0.0020758891478180885,0.0003121312474831939,0.003030811669304967,0.016192296519875526
ANN-3F,9.949324521585368e-06,0.016229752451181412,8.574565887451172,210.22601318359375,91.82532036477373,-0.014811105094850063,-0.0027631872799247503,-0.00010385061614215374,0.002207032172009349,0.012767459265887737
ANN-4F,2.501844164726208e-06,0.014672218821942806,6.977085590362549,155.9337158203125,91.1292940757262,-0.013828086666762829,-0.0028020571917295456,-0.00021089427173137665,0.002161739394068718,0.012809350155293941
