Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
3F+vix_lag+vix_mom_lag+vega,81.28901672363281,0.0002145593198728,0.0146478435229512,0.0066116070374846,0.0005254512070678,0.0035924613475799,0.3526142993020684,19.4s,29.50%,-1.69%,68,3
3F+vix_lag+vix_mom_lag+rho,82.533935546875,0.0002178452365535,0.0147595811781224,0.006884544622153,-0.002120719756931,0.003692626953125,0.3426997662300701,18.8s,28.42%,-1.53%,74,3
3F+vix_lag+vix_mom+gamma,77.89736938476562,0.0002056071935511,0.0143390095038386,0.00634141638875,-0.000621322193183,0.0033328533172607,0.3796253775201479,18.9s,32.44%,5.62%,44,3
3F+vix_lag+vix_mom+theta,79.59294891357422,0.0002100826123119,0.0144942268614772,0.0066796131432056,0.0010102010564878,0.0036813616752624,0.3661217827469601,19.4s,30.97%,-2.18%,53,3
3F+vix_lag+vix_mom+vega,82.73970794677734,0.0002183883651083,0.014777968910116,0.0066013447940349,0.0002994987298734,0.0035541057586669,0.3410609949093641,19.4s,28.24%,-3.95%,75,3
3F+vix_lag+vix_mom+rho,82.79737854003906,0.0002185405844827,0.0147831182259597,0.0065108207054436,-0.0002228356315754,0.0034380853176116,0.3406017063248394,19.2s,28.19%,-0.07%,77,3
3F+vix_lag+gamma+theta,79.89622497558594,0.0002108830981367,0.0145218145607484,0.0067840502597391,0.0017690253444015,0.0037900507450103,0.3637064922953869,18.8s,30.71%,3.50%,56,3
3F+vix_lag+gamma+vega,86.23328399658203,0.0002276095284509,0.0150867335248881,0.006678135599941,-1.084514497051714e-05,0.0035466700792312,0.3132381564731011,19.4s,25.21%,-7.93%,92,3
3F+vix_lag+gamma+rho,81.34293365478516,0.0002147016315964,0.0146527004881844,0.0066911252215504,0.0021818487439304,0.0037763342261314,0.3521849048812673,19.2s,29.45%,5.67%,69,3
3F+vix_lag+theta+vega,86.27556610107422,0.0002277211304846,0.0150904317527587,0.0068483436480164,-0.0009847122710198,0.0036293566226959,0.3129014218077438,18.9s,25.17%,-6.06%,93,3
3F+vix_lag+theta+rho,85.04790496826172,0.0002244807648324,0.0149826821641684,0.0069307633675634,-0.0002886690490413,0.0038836896419525,0.3226785146392084,18.9s,26.24%,1.42%,84,3
3F+vix_lag+vega+rho,92.98234558105467,0.0002454234241248,0.0156659957910383,0.0068126088008284,0.0007489424315281,0.0035482943058013,0.2594886323796811,18.8s,19.36%,-9.33%,110,3
3F+vix_mom_lag+vix_mom+gamma,81.83744049072266,0.000216006863898,0.0146971719693966,0.0065489346161484,0.0004024539957754,0.0035872906446456,0.3482466526131691,18.9s,29.02%,11.99%,71,3
3F+vix_mom_lag+vix_mom+theta,80.19837951660156,0.0002116806237488,0.0145492482193697,0.0069944174028933,-0.0017717876471579,0.0040444582700729,0.3613001336366335,18.9s,30.44%,2.00%,60,3
3F+vix_mom_lag+vix_mom+vega,80.63981628417969,0.0002128457795895,0.0145892350584089,0.0064572892151772,0.0008103874279186,0.0034845322370529,0.3577845313743502,18.7s,30.06%,-0.55%,63,3
3F+vix_mom_lag+vix_mom+rho,83.27759552001953,0.0002198080992438,0.0148259265897226,0.0065341377630829,-0.000552644371055,0.0034302324056625,0.3367772584645749,18.8s,27.77%,-3.27%,78,3
3F+vix_mom_lag+gamma+theta,82.78186798095703,0.000218499644942,0.0147817334890741,0.00692780315876,-0.0004026425885967,0.0038797110319137,0.3407252324119328,19.5s,28.20%,0.60%,76,3
3F+vix_mom_lag+gamma+vega,87.64247131347656,0.0002313290256779,0.0152095044520835,0.0068037789314985,-0.0001610647886991,0.0036193430423736,0.3020153891752261,19.0s,23.99%,-5.87%,97,3
3F+vix_mom_lag+gamma+rho,80.09467315673828,0.00021140689469,0.0145398381933923,0.0065992907620966,-0.0002325454988749,0.0034556314349174,0.3621260510502391,19.1s,30.53%,8.61%,58,3
3F+vix_mom_lag+theta+vega,86.28179168701172,0.0002277375626859,0.0150909762005626,0.0068665239959955,-0.0009562519844621,0.0035725235939025,0.3128518412435194,19.1s,25.17%,-7.72%,93,3
3F+vix_mom_lag+theta+rho,85.56026458740234,0.0002258331188877,0.0150277449701456,0.0070415521040558,-0.0003930560778826,0.0039417743682861,0.3185980828119373,18.9s,25.79%,0.84%,89,3
3F+vix_mom_lag+vega+rho,95.43620300292967,0.0002519002890288,0.0158713669552716,0.0069488338194787,-0.0001034195302054,0.0036967396736145,0.2399461127318636,18.9s,17.23%,-11.54%,113,3
3F+vix_mom+gamma+theta,78.83817291259766,0.0002080904092819,0.0144253391392344,0.0063675055280327,0.0003208046837244,0.0033619999885559,0.3721328185542137,19.0s,31.62%,17.39%,47,3
3F+vix_mom+gamma+vega,88.78589630126953,0.0002343470531753,0.0153083981257127,0.00669581675902,-0.0004129497683607,0.0034918189048767,0.2929091529731751,19.2s,23.00%,-12.62%,99,3
3F+vix_mom+gamma+rho,81.15505981445312,0.0002142057456203,0.0146357693894222,0.0062574041076004,0.0003962251648772,0.0031659752130508,0.3536811320798281,19.1s,29.61%,8.59%,67,3
3F+vix_mom+theta+vega,79.20445251464844,0.0002090571905946,0.0144588101375827,0.0063736429437994,0.0007213581120595,0.0033026486635208,0.36921576793185,19.2s,31.31%,2.40%,50,3
