Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,10.465349197387695,3.9365172472711216e-05,0.006274167074019564,0.003120200242847204,0.0009022713056765497,0.0016661318950355053,-0.001261417884797833,,,
6F_gamma+iv_lag,36.69587707519531,0.00013803070522128887,0.011748646952789451,0.007715586107224226,-0.003138638101518154,0.005315914750099182,-2.5108399364263634,16.7s,-250.64%,
8F_theta+iv_lag,11.518678665161133,4.332724725754884e-05,0.006582343599171107,0.0038098138757050037,-0.000387468229746446,0.0023524463176727295,-0.10203762100145353,26.1s,-10.06%,68.61%
8F_rho+iv_lag,25.063039779663086,9.427405287757928e-05,0.009709482626668596,0.00591660849750042,-0.00045850564492866397,0.0033739954233169556,-1.3978803069994594,27.8s,-139.49%,-117.59%
Total,,,,,,,,70.7s,,
