Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
3F+vix_lag+vix_mom_lag+vega,32.66667938232422,0.000250957834355,0.0158416487259066,0.0085101639851927,-0.0010765951592475,0.005462646484375,0.2113624056494303,13.4s,15.43%,0.91%,33,3
3F+vix_lag+vix_mom_lag+rho,32.92805099487305,0.0002529657903238,0.0159048983122758,0.0085572870448231,-0.0013887817040085,0.00543212890625,0.2050523832152685,13.4s,14.75%,-0.80%,36,3
3F+vix_lag+vix_mom+gamma,35.25621795654297,0.0002708516529142,0.0164575712945214,0.0091046765446662,-0.0008976403041742,0.0059826597571372,0.1488458747297033,13.5s,8.73%,-7.07%,83,3
3F+vix_lag+vix_mom+theta,33.27468490600586,0.0002556287636439,0.0159883946549974,0.0087251374498009,-0.0007960059447214,0.0055449306964874,0.1966839619687542,13.6s,13.86%,5.62%,44,3
3F+vix_lag+vix_mom+vega,33.285648345947266,0.0002557129889523,0.0159910283894542,0.0086180558428168,0.0009726338321343,0.005494050681591,0.1964192830646023,13.5s,13.83%,-0.03%,46,3
3F+vix_lag+vix_mom+rho,33.42439270019531,0.000256778875762,0.0160243213822631,0.0086966445669531,-0.0003672974125947,0.0055607482790946,0.193069722722601,13.6s,13.47%,-0.42%,52,3
3F+vix_lag+gamma+theta,35.45671463012695,0.000272391944488,0.0165043007876159,0.0087641449645161,-0.0016564559191465,0.0054931640625,0.1440054925016853,13.8s,8.21%,-6.08%,86,3
3F+vix_lag+gamma+vega,34.56260681152344,0.0002655230687382,0.0162948786045883,0.0084508573636412,-0.0003264644765295,0.0051913484930992,0.1655910057061603,13.5s,10.52%,2.52%,68,3
3F+vix_lag+gamma+rho,33.88767623901367,0.0002603379958132,0.0161349928978356,0.0087675228714942,-0.0027527951169759,0.005580723285675,0.1818851510898435,13.5s,12.27%,1.95%,58,3
3F+vix_lag+theta+vega,34.636688232421875,0.0002660921903418,0.016312332461726,0.0082371085882186,0.0005929095204919,0.00497817248106,0.163802535170798,13.4s,10.33%,-2.21%,69,3
3F+vix_lag+theta+rho,36.72434616088867,0.0002821303712194,0.0167967369217778,0.0091737415641546,-0.0002081347920466,0.005932979285717,0.1134023856097192,13.5s,4.93%,-6.03%,103,3
