model,mean,std,skew,kurtosis,pct_within_1std,q05,q25,q50,q75,q95
Analytic,0.0018610426923260093,0.017125466838479042,10.479876518249512,197.85877990722656,92.0041792145535,-0.011631895788013935,-0.0017649196088314056,0.0002908215392380953,0.0026593846268951893,0.017543571069836617
3F,0.00019921436614822596,0.01723625883460045,8.254322052001953,153.94833374023438,90.62135086964538,-0.017578125,-0.004722753539681435,-0.00021768361330032349,0.003966491669416428,0.015392179600894451
3F+vix_lag,-0.0008387979469262064,0.018903594464063644,3.8561463356018066,61.02556610107422,84.30105709544588,-0.025973381474614143,-0.00866369903087616,-0.0007117763161659241,0.006561335176229477,0.02099609375
3F+iv_lag,-0.00032387045212090015,0.015868786722421646,4.008460521697998,102.51123809814453,81.72285047016163,-0.021972406655550003,-0.007679402828216553,-0.0005168020725250244,0.00640869140625,0.02059183456003666
3F+d_iv_lag,0.00033204167266376317,0.01666443794965744,3.873196601867676,71.43519592285156,85.06007620920656,-0.020761221647262573,-0.006046993657946587,0.00010013580322265625,0.006041470915079117,0.020595509558916092
3F+vix_mom_lag,-0.00044623998110182583,0.018985139206051826,4.676685333251953,69.21820831298828,84.68594431811198,-0.02425650879740715,-0.008639754727482796,-0.0009118616580963135,0.006433580070734024,0.022175228223204613
3F+vix_mom,0.0013597637880593538,0.019669899716973305,4.461903095245361,71.28470611572266,84.43012107430398,-0.023629873991012573,-0.007013516500592232,0.000812530517578125,0.008611451834440231,0.025365106761455536
3F+gamma,0.0010048218537122011,0.018307115882635117,6.709184169769287,113.16995239257812,88.36426771556758,-0.019435275346040726,-0.0059814453125,0.00041572004556655884,0.0065087974071502686,0.020005783066153526
3F+theta,0.0009245139663107693,0.017922554165124893,6.346715450286865,110.2677230834961,88.97348042529654,-0.018711961805820465,-0.005375351756811142,0.000423431396484375,0.006098339334130287,0.01909724436700344
3F+vega,-0.0006055024568922818,0.018122941255569458,6.413684844970703,116.0627670288086,89.09716673836888,-0.020496618002653122,-0.0067138671875,-0.0009700283408164978,0.004487615078687668,0.017014775425195694
