Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,39.561302185058594,0.00017538137181780884,0.013243163210419512,0.005016488954424858,0.0014869746519252658,0.0017516232328489423,-0.01478185448250291,,,
6F_gamma+iv_lag,61.2658805847168,0.00027160112506690427,0.016480325393234938,0.01123093068599701,-0.0033668556716293097,0.007689058780670166,-0.571523192675474,27.2s,-54.86%,
8F_theta+iv_lag,40.09605407714844,0.0001777520096693684,0.01333236699425006,0.00867100153118372,-0.0034442180767655373,0.005008697509765625,-0.028498706223240466,38.9s,-1.35%,34.55%
8F_rho+iv_lag,30.852962493896484,0.0001367759549852885,0.011695125265908378,0.0076303789392113686,-0.00020187697373330593,0.004730224609375,0.20859464257826943,36.1s,22.01%,23.05%
Total,,,,,,,,102.2s,,
