Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
3F+vix_lag+vix_mom_lag+vega,50.213897705078125,0.0002047415861249,0.0143087940136464,0.0070149847306311,-0.0004885210073553,0.004278689622879,0.2792552110967107,12.9s,22.64%,-6.53%,80,3
3F+vix_lag+vix_mom_lag+rho,52.12385559082031,0.0002125292270935,0.0145783821836826,0.0075083775445818,-0.0013155542546883,0.0048150569200515,0.2518406454866364,12.9s,19.70%,-3.80%,93,3
3F+vix_lag+vix_mom+gamma,51.70865249633789,0.0002108362826296,0.0145202025684789,0.0078668594360351,0.0020101075060665,0.0052076950669288,0.2578002598635633,12.9s,20.34%,0.80%,88,3
3F+vix_lag+vix_mom+theta,48.653438568115234,0.0001983789874543,0.0140847075743284,0.0075328662060201,-0.0023157424293458,0.004841536283493,0.3016532491432332,12.9s,25.05%,5.91%,62,3
3F+vix_lag+vix_mom+vega,51.418209075927734,0.0002096520318685,0.0144793657274266,0.0072816251777112,0.0012957875151187,0.0046473741531372,0.2619691372321628,13.2s,20.79%,-5.68%,84,3
3F+vix_lag+vix_mom+rho,52.09181594848633,0.0002123985890134,0.0145739009538771,0.0073674656450748,0.0016517636831849,0.0047051161527633,0.2523005262428799,12.8s,19.75%,-1.31%,91,3
3F+vix_lag+gamma+theta,47.68086242675781,0.0001944134163493,0.0139432211611715,0.0073270066641271,0.0020452460739761,0.0046690106391906,0.3156131131994373,12.7s,26.55%,8.47%,55,3
3F+vix_lag+gamma+vega,44.979793548583984,0.0001834001082489,0.0135425296104125,0.0069802538491785,0.0007578776567243,0.0043912380933761,0.3543828842665369,13.1s,30.71%,5.66%,35,3
3F+vix_lag+gamma+rho,45.60863494873047,0.0001859641391561,0.0136368669112851,0.007163003552705,0.0013728397898375,0.004588708281517,0.3453568141362274,13.0s,29.74%,-1.40%,40,3
3F+vix_lag+theta+vega,54.35400390625,0.0002216224089468,0.0148869879071224,0.0077966162934899,-0.0006990887341089,0.0049890577793121,0.2198302290424088,12.9s,16.27%,-19.17%,102,3
3F+vix_lag+theta+rho,53.989013671875,0.0002201342018383,0.0148369202275402,0.0078594395890831,0.000378081575036,0.0050498992204666,0.2250691135235824,12.8s,16.83%,0.67%,101,3
3F+vix_lag+vega+rho,59.32536315917969,0.0002418925736852,0.0155528959903056,0.008016312494874,0.0005528981564566,0.0052437484264373,0.1484738627957618,12.6s,8.61%,-9.88%,113,3
3F+vix_mom_lag+vix_mom+gamma,52.1182746887207,0.0002125064715855,0.0145776017089772,0.0075634228996932,-0.0002183169708587,0.0049191862344741,0.2519207509213768,12.9s,19.71%,12.15%,92,3
3F+vix_mom_lag+vix_mom+theta,48.92155456542969,0.0001994722006296,0.0141234627704989,0.0074253100901842,-0.001221751095727,0.0047624558210372,0.2978048482678226,12.6s,24.64%,6.13%,65,3
3F+vix_mom_lag+vix_mom+vega,51.70155715942383,0.0002108073521821,0.0145192063206675,0.007196388207376,-0.0003211564035154,0.0046048834919929,0.2579021027265963,12.8s,20.35%,-5.68%,87,3
3F+vix_mom_lag+vix_mom+rho,52.25102615356445,0.0002130477509268,0.0145961553474484,0.007401468232274,0.0010217267554253,0.0047587305307388,0.2500153038065686,13.0s,19.51%,-1.06%,95,3
3F+vix_mom_lag+gamma+theta,47.26295471191406,0.0001927094440966,0.0138819827148937,0.0073889726772904,-0.0016700166743248,0.0047978460788726,0.3216115483236171,12.9s,27.19%,9.55%,54,3
3F+vix_mom_lag+gamma+vega,47.20560073852539,0.0001924755896455,0.0138735572095109,0.0073044812306761,0.0009582861093804,0.0047257542610168,0.3224347781331327,13.0s,27.28%,0.12%,53,3
3F+vix_mom_lag+gamma+rho,48.86783981323242,0.0001992531846985,0.0141157070208511,0.0074785137549042,0.0015032942174002,0.0048879832029342,0.2985758425443632,13.1s,24.72%,-3.52%,64,3
3F+vix_mom_lag+theta+vega,55.31461334228515,0.000225539187141,0.0150179621500747,0.007965357042849,-0.0010261392453685,0.0051515847444534,0.2060421289976746,13.1s,14.79%,-13.19%,104,3
3F+vix_mom_lag+theta+rho,55.46913528442383,0.0002261692331835,0.0150389239370215,0.0080523779615759,0.0003924896882381,0.0052888393402099,0.2038241995068834,13.2s,14.55%,-0.28%,105,3
3F+vix_mom_lag+vega+rho,60.39216613769531,0.0002462423442445,0.0156921108919272,0.0082440031692385,-0.0004843557544518,0.0054500550031661,0.133161514567636,13.2s,6.97%,-8.88%,117,3
3F+vix_mom+gamma+theta,44.38029861450195,0.0001809557342949,0.0134519788245047,0.0070213400758802,-0.0018982401816174,0.0045578181743621,0.3629877301251736,13.0s,31.63%,26.51%,26,3
3F+vix_mom+gamma+vega,51.004974365234375,0.0002079671132708,0.0144210649145899,0.0071233720518648,-0.0020663996692746,0.004404217004776,0.2679004984277323,13.2s,21.43%,-14.93%,82,3
3F+vix_mom+gamma+rho,49.39265441894531,0.000201393057915,0.0141913021923644,0.0069248485378921,0.0006579378386959,0.0042069554328918,0.2910429201962611,13.3s,23.91%,3.16%,70,3
3F+vix_mom+theta+vega,51.36547088623047,0.0002094369977624,0.0144719382862992,0.0073589892126619,-3.945192656829022e-05,0.0046705603599548,0.2627261144264795,13.3s,20.87%,-3.99%,83,3
3F+vix_mom+theta+rho,51.62390899658203,0.0002104907504294,0.0145082993637944,0.0074829356744885,-0.0003525074280332,0.0047398805618286,0.2590166250260767,12.6s,20.47%,-0.50%,86,3
3F+vix_mom+vega+rho,56.6192741394043,0.0002308587965154,0.0151940381898783,0.0076701939105987,-0.0004838300810661,0.004938930273056,0.1873156904261685,12.7s,12.78%,-9.68%,106,3
3F+gamma+theta+vega,50.08688735961914,0.0002042237155598,0.01429068632221,0.0076272562146186,2.452690932841506e-05,0.0049477219581604,0.2810782530992262,13.1s,22.84%,11.54%,79,3
3F+gamma+theta+rho,53.59625625610352,0.0002185327771344,0.0147828541606289,0.0078698992729187,0.0014405961846932,0.0050948858261108,0.2307065540262699,12.7s,17.43%,-7.01%,98,3
3F+gamma+vega+rho,57.434234619140625,0.0002341817072807,0.0153029966764928,0.0079797971993684,0.0003074525156989,0.0052356272935867,0.175618161539207,12.8s,11.52%,-7.16%,109,3
3F+theta+vega+rho,60.19743728637695,0.0002454483589993,0.0156667915987707,0.0088391499593853,0.0008118510013446,0.0060711205005645,0.1359565536156133,12.8s,7.27%,-4.81%,116,3
3F+vix_lag+vix_mom_lag+vix_mom+gamma,46.73285675048828,0.0001905480285844,0.0138039135242324,0.0071922335773706,0.0004094479372724,0.004601813852787,0.3292203052767196,13.1s,28.01%,22.37%,50,4
3F+vix_lag+vix_mom_lag+vix_mom+theta,46.1779899597168,0.000188285620924,0.0137217207712445,0.0069724121131002,-0.0010356879793107,0.0044105947017669,0.3371845814285706,13.4s,28.86%,1.19%,45,4
3F+vix_lag+vix_mom_lag+vix_mom+vega,49.45643615722656,0.0002016531208628,0.0142004619946987,0.0070623257197439,-0.0006559217581525,0.0045318454504013,0.2901274295135141,13.4s,23.81%,-7.10%,72,4
3F+vix_lag+vix_mom_lag+vix_mom+rho,49.02754592895508,0.0001999043686324,0.0141387541400388,0.0072849211283028,-0.0017372221918776,0.0047436878085136,0.2962835020584852,13.3s,24.47%,0.87%,67,4
3F+vix_lag+vix_mom_lag+gamma+theta,43.0124626159668,0.0001753785350592,0.0132430561072319,0.0070957099087536,-0.0002044265711447,0.0046181231737136,0.3826209534572641,13.2s,33.74%,12.27%,18,4
3F+vix_lag+vix_mom_lag+gamma+vega,51.522098541259766,0.0002100756296151,0.0144939859809209,0.007505324203521,-0.0001224662992171,0.0049002915620803,0.2604779606021432,12.9s,20.63%,-19.78%,85,4
3F+vix_lag+vix_mom_lag+gamma+rho,50.0008659362793,0.0002038729727682,0.0142784093220589,0.0075046783313155,-0.0003461408196017,0.0048530101776123,0.2823129609279308,12.8s,22.97%,2.95%,77,4
3F+vix_lag+vix_mom_lag+theta+vega,46.312530517578125,0.0001888341950931,0.0137416954955777,0.0071773189119994,0.0012856057146564,0.0046525001525878,0.3352534545810945,13.2s,28.65%,7.38%,46,4
3F+vix_lag+vix_mom_lag+theta+rho,45.72919845581055,0.0001864557234544,0.0136548791080114,0.0075203892774879,-0.0024653449654579,0.0050511211156845,0.3436263067780806,13.3s,29.55%,1.26%,41,4
3F+vix_lag+vix_mom_lag+vega+rho,50.05413436889648,0.0002040901688809,0.0142860130505661,0.0073008388280868,-0.0013509554555639,0.0046437233686447,0.2815483728960003,12.9s,22.89%,-9.46%,78,4
3F+vix_lag+vix_mom+gamma+theta,40.0621337890625,0.0001633488972255,0.0127808019007256,0.0067181955091655,5.999270433676429e-05,0.0042910948395729,0.4249684752535532,12.7s,38.28%,19.96%,8,4
3F+vix_lag+vix_mom+gamma+vega,47.82600784301758,0.0001950052306498,0.0139644273298192,0.0073167509399354,-0.0020701556932181,0.0047919452190399,0.3135297695996863,13.2s,26.32%,-19.38%,56,4
3F+vix_lag+vix_mom+gamma+rho,48.66264724731445,0.0001984165348201,0.0140860404237721,0.0074712946079671,-9.947706712409854e-05,0.0048802196979522,0.3015210724382002,12.9s,25.03%,-1.75%,63,4
3F+vix_lag+vix_mom+theta+vega,44.534141540527344,0.0001815830117246,0.0134752740871806,0.0067866747267544,-0.0001181929110316,0.0042390078306198,0.3607795468868663,13.2s,31.39%,8.48%,30,4
3F+vix_lag+vix_mom+theta+rho,44.26321029663086,0.0001804783196943,0.0134342219608848,0.0068132597953081,0.000488695106469,0.0042714178562164,0.3646683563821253,13.0s,31.81%,0.61%,24,4
3F+vix_lag+vix_mom+vega+rho,43.73308944702149,0.0001783168108581,0.0133535317747094,0.006636953447014,0.0003689316508825,0.0041117593646049,0.3722774418605924,13.1s,32.63%,1.20%,22,4
3F+vix_lag+gamma+theta+vega,43.31050109863281,0.0001765937538424,0.0132888582595519,0.006793902721256,0.0008716324227862,0.0042072981595993,0.3783430604218375,13.0s,33.28%,0.97%,20,4
3F+vix_lag+gamma+theta+rho,43.99943923950195,0.0001794028225296,0.0133941338850117,0.0068960050120949,-0.0007221145206131,0.0043090730905532,0.3684543921924852,13.1s,32.22%,-1.59%,23,4
3F+vix_lag+gamma+vega+rho,49.17425537109375,0.0002005025600745,0.0141598926575942,0.007175491657108,0.000143432553159,0.0045934915542602,0.294177709225485,13.1s,24.25%,-11.76%,68,4
